DateTime,smell_description,zipcode,smell_1,smell_2,smell_3
2016-11-05 12:00:00+00:00,sulphuric smoke,15218,smoke,,
2016-11-05 12:00:00+00:00,Industrial exhaust,15206,industrial,,
2016-11-05 12:00:00+00:00,Induatrial,15217,,,
2016-11-05 13:00:00+00:00,"Coke pollution. Dylos at 15,009+",15206,coke,,
2016-11-05 13:00:00+00:00,Sulfur metal industrial ,15238,industrial,sulfur,
2016-11-05 13:00:00+00:00,sulfur,15217,sulfur,,
2016-11-05 13:00:00+00:00,"Industrial, sulfur",15217,sulfur,industrial,
2016-11-05 13:00:00+00:00,acrid industrial coke plant smell. Seems to be Clairton or Edgar Thompson.,15217,coke,acrid,industrial
2016-11-05 13:00:00+00:00,Industrial polution,15218,industrial,,
2016-11-05 14:00:00+00:00,Bad odor like sewage not sure,15017,sewage,,
2016-11-05 14:00:00+00:00,Industrial,15090,industrial,,
2016-11-05 14:00:00+00:00,"Industrial, acrid, strong",15206,acrid,industrial,
2016-11-05 15:00:00+00:00,"Clairton, the gift that keeps on giving.",15218,,,
2016-11-05 19:00:00+00:00,Sewage,15207,sewage,,
2016-11-06 01:00:00+00:00,Odd,15217,,,
2016-11-06 02:00:00+00:00,"Industrial, sulfur at 8am",15217,sulfur,industrial,
2016-11-06 12:00:00+00:00,Sulfur,15218,sulfur,,
2016-11-06 12:00:00+00:00,Industrial ,15217,industrial,,
2016-11-06 12:00:00+00:00,"Sulfurous, acrid stench",15206,acrid,,
2016-11-06 13:00:00+00:00,"Sulfur metal industrial. Dylos >2,500. South winds",15238,industrial,sulfur,
2016-11-06 13:00:00+00:00,Industrial smoke,15213,smoke,industrial,
2016-11-06 13:00:00+00:00,"acrid, industrial, foul smell. My Awair sensor peaked at 864ppb VOC's this morning at 6:20 AM.",15217,acrid,industrial,
2016-11-06 13:00:00+00:00,Coke/industrial pollution smell for a 2nd day in a row and 3rd time in one week. unacceptable. ,15206,coke,industrial,
2016-11-06 13:00:00+00:00,"Sulfur, co. airport winds S 4-5mph, particle counts high",15218,sulfur,,
2016-11-06 14:00:00+00:00,Sulfur ,15217,sulfur,,
2016-11-06 14:00:00+00:00,Industrial (coal?),15217,coal,industrial,
2016-11-06 14:00:00+00:00,Industrial pollution ,15218,industrial,,
2016-11-06 15:00:00+00:00,Industrial rotten egg smell,15206,egg,industrial,
2016-11-06 15:00:00+00:00,"Industrial, acrid smell. Like burning.",15206,acrid,industrial,
2016-11-06 15:00:00+00:00,Sulfur and chemical smell in both Morningside and Aspinwall.,15238,sulfur,chemical,
2016-11-06 15:00:00+00:00,still bad at 10:30am,15206,,,
2016-11-06 17:00:00+00:00,burnt eggs with scorched rubber,15217,egg,,
2016-11-06 18:00:00+00:00,Industrial chemicals ,15044,industrial,chemical,
2016-11-07 02:00:00+00:00,Woodsmoke,15136,woodsmoke,,
2016-11-07 04:00:00+00:00,sulfur smell this evening. different from this morning. coming from Clairton or Edgar Thompson ,15217,sulfur,,
2016-11-07 13:00:00+00:00,"Sooty, acrid smell, with VOC's over 800ppb and Dylos 0.5 above 5000. The stench leaked into my house last night. Third night in a row!! where can I go for relief??",15217,acrid,,
2016-11-07 13:00:00+00:00,Sewage,15205,sewage,,
2016-11-07 13:00:00+00:00,burning plastic,15217,,,
