DateTime,smell_1,smell_2,smell_3,3.feed_11067.CO_PPB..3.feed_43.CO_PPB,3.feed_11067.NO2_PPB..3.feed_43.NO2_PPB,3.feed_11067.NOX_PPB..3.feed_43.NOX_PPB,3.feed_11067.NO_PPB..3.feed_43.NO_PPB,3.feed_11067.PM25T_UG_M3..3.feed_43.PM25T_UG_M3,3.feed_11067.SIGTHETA_DEG..3.feed_43.SIGTHETA_DEG,3.feed_11067.SONICWD_DEG..3.feed_43.SONICWD_DEG,3.feed_11067.SONICWS_MPH..3.feed_43.SONICWS_MPH,3.feed_5975.PM2_5
2017-04-09 14:00:00+00:00,sulfur,,,406.4,18.8,27.5,8.7,22.0,23.4,191.0,4.9,22.0
2017-04-10 12:00:00+00:00,egg,,,696.4,18.4,19.6,1.1,17.0,16.2,193.0,6.8,17.0
2017-04-11 10:00:00+00:00,,,,776.3,35.9,37.4,1.5,27.0,14.2,189.0,5.5,27.0
2017-04-11 11:00:00+00:00,industrial,sulfur,,810.1,22.7,23.1,0.4,29.0,13.0,197.0,5.6,29.0
2017-04-16 02:00:00+00:00,acrid,woodsmoke,,488.6,15.2,15.7,0.4,19.0,16.9,185.0,2.5,19.0
2017-04-18 23:00:00+00:00,industrial,,,252.4,4.3,5.1,0.7,4.0,56.0,187.0,1.8,4.0
2017-04-21 02:00:00+00:00,industrial,,,453.8,17.4,17.9,0.4,12.0,19.6,200.0,6.5,12.0
2017-04-27 09:00:00+00:00,industrial,,,158.9,4.0,4.4,0.3,9.0,30.1,126.0,1.3,9.0
2017-05-01 02:00:00+00:00,industrial,woodsmoke,,611.8,8.6,8.9,0.3,13.0,27.8,170.0,2.3,13.0
2017-05-08 20:00:00+00:00,sulfur,,,525.9,8.0,15.1,7.2,2.0,46.4,303.0,6.9,2.0
2017-05-09 10:00:00+00:00,,,,1798.2,31.4,33.8,2.3,30.0,29.9,175.0,1.6,30.0
2017-05-16 23:00:00+00:00,industrial,,,318.3,5.3,6.2,0.8,14.0,26.6,220.0,6.6,14.0
2017-05-17 03:00:00+00:00,industrial,,,729.3,21.3,21.9,0.5,27.0,18.2,188.0,3.3,27.0
2017-05-18 12:00:00+00:00,sulfur,,,780.3,23.6,26.5,2.9,28.0,17.1,198.0,6.3,28.0
2017-05-31 11:00:00+00:00,sulfur,,,1077.0,15.2,17.4,2.1,22.0,40.7,155.0,1.5,22.0
2017-06-01 02:00:00+00:00,egg,,,383.9,8.0,8.2,0.2,10.0,45.8,185.0,1.9,10.0
2017-06-08 20:00:00+00:00,industrial,,,951.4,16.6,31.9,15.2,4.0,47.0,331.0,2.5,4.0
2017-06-12 09:00:00+00:00,acrid,industrial,,603.0,16.1,18.7,2.6,20.0,47.1,168.0,1.0,20.0
2017-06-12 12:00:00+00:00,sulfur,,,1006.7,16.6,19.9,3.3,34.0,23.8,176.0,2.2,34.0
2017-06-13 22:00:00+00:00,sulfur,,,393.4,6.0,7.8,1.7,5.0,37.6,179.0,4.2,5.0
2017-06-15 09:00:00+00:00,,,,1155.1,-1.0,13.2,-1.0,22.0,25.4,186.0,2.4,22.0
2017-06-15 20:00:00+00:00,sulfur,industrial,,330.0,4.3,5.3,0.9,12.0,38.3,207.0,6.6,12.0
2017-06-16 16:00:00+00:00,,,,321.4,10.7,15.4,4.7,11.0,51.8,217.0,3.0,11.0
2017-06-16 22:00:00+00:00,sulfur,,,1148.0,8.9,11.1,2.1,4.0,30.0,195.0,3.0,4.0
2017-06-28 13:00:00+00:00,egg,industrial,,519.2,15.5,37.6,22.0,24.0,16.4,190.0,3.2,24.0
2017-06-30 16:00:00+00:00,diesel,,,361.0,8.2,12.2,3.9,8.0,30.8,232.0,5.9,8.0
2017-07-03 07:00:00+00:00,industrial,,,-1.0,16.3,18.6,2.3,13.0,53.8,287.0,0.7,13.0
2017-07-04 09:00:00+00:00,acrid,,,230.0,9.0,9.9,0.8,17.0,85.4,92.0,0.8,17.0
2017-07-06 21:00:00+00:00,sulfur,,,497.4,10.7,14.1,3.4,7.0,65.3,108.0,1.2,7.0
2017-07-06 23:00:00+00:00,sulfur,industrial,,851.2,8.3,10.7,2.4,11.0,66.3,189.0,1.0,11.0
2017-07-08 00:00:00+00:00,egg,,,563.1,6.7,7.5,0.8,8.0,18.4,203.0,5.9,8.0
2017-07-08 01:00:00+00:00,egg,,,229.8,7.8,8.4,0.6,11.0,20.0,208.0,4.9,11.0
2017-07-09 11:00:00+00:00,,,,1026.5,9.6,15.8,6.2,19.0,51.4,154.0,0.7,19.0
2017-07-09 13:00:00+00:00,sulfur,,,2043.8,11.5,18.7,7.2,34.0,49.9,199.0,1.1,34.0
2017-07-10 10:00:00+00:00,chemical,,,2410.9,26.7,34.2,7.5,35.0,61.4,102.0,0.7,35.0
2017-07-10 11:00:00+00:00,,,,1741.3,17.1,23.2,6.0,31.0,34.8,99.0,0.8,31.0
2017-07-12 13:00:00+00:00,gas,,,522.2,15.2,23.5,8.2,12.0,32.9,237.0,3.3,12.0
2017-07-12 14:00:00+00:00,,,,507.6,15.3,26.3,11.0,21.0,45.7,245.0,3.3,21.0
2017-07-14 12:00:00+00:00,,,,216.0,8.7,10.3,1.6,13.0,18.6,211.0,3.4,13.0
