DateTime,smell_1,smell_2,smell_3,3.feed_28.H2S_PPM,3.feed_28.SO2_PPM,3.feed_28.SIGTHETA_DEG,3.feed_28.SONICWD_DEG,3.feed_28.SONICWS_MPH,3.feed_29.PM10_UG_M3,3.feed_29.PM25_UG_M3..3.feed_29.PM25T_UG_M3,3.feed_3508.PM2_5
2019-04-19 06:00:00+00:00,industrial,,,0.003,0.012,19.7,187.0,6.5,33.0,25.0,25.0
2019-04-24 11:00:00+00:00,burning,industrial,,0.0,0.001,16.9,310.0,4.8,5.0,0.0,0.0
2019-04-26 03:00:00+00:00,burning,industrial,,0.0,0.0,49.7,112.0,3.6,5.0,3.0,3.0
2019-05-05 03:00:00+00:00,sulfur,chemical,,0.001,0.0,20.4,13.0,2.6,11.0,13.0,13.0
2019-05-07 03:00:00+00:00,burning,industrial,,0.04,0.068,9.5,214.0,4.2,126.0,57.0,57.0
2019-05-07 13:00:00+00:00,chemical,,,0.006,0.017,18.4,197.0,4.4,46.0,50.0,50.0
2019-06-08 17:00:00+00:00,smoke,trash,,0.0,0.001,22.3,76.0,8.1,11.0,0.0,0.0
2019-06-08 22:00:00+00:00,trash,,,0.0,0.002,21.1,83.0,7.8,13.0,7.0,7.0
2019-06-15 11:00:00+00:00,,,,0.007,0.023,20.1,197.0,4.1,32.0,33.0,33.0
2019-06-26 12:00:00+00:00,industrial,,,0.013,0.015,14.5,200.0,5.2,30.0,21.0,21.0
2019-06-27 11:00:00+00:00,industrial,sulfur,,0.011,0.015,34.3,210.0,2.2,58.0,27.0,27.0
2019-06-27 14:00:00+00:00,coke,gas,,0.009,0.018,24.2,189.0,3.2,41.0,34.0,34.0
2019-06-30 16:00:00+00:00,,,,0.0,0.002,41.7,316.0,5.6,9.0,-1.0,-1.0
2019-07-13 12:00:00+00:00,industrial,,,0.008,0.006,59.9,81.0,0.8,69.0,30.0,30.0
2019-07-14 15:00:00+00:00,industrial,,,0.0,0.005,30.5,342.0,3.3,13.0,20.0,20.0
2019-07-30 01:00:00+00:00,sulfur,,,0.003,0.007,18.4,206.0,3.3,31.0,22.0,22.0
2019-08-09 20:00:00+00:00,tar,,,0.0,0.0,36.9,291.0,6.9,8.0,6.0,6.0
2019-08-19 12:00:00+00:00,tar,burning,industrial,0.001,0.005,16.4,246.0,3.6,18.0,8.0,8.0
2019-08-20 02:00:00+00:00,chemical,,,0.0,0.002,12.1,335.0,2.2,15.0,8.0,8.0
2019-09-04 00:00:00+00:00,,,,0.002,0.004,23.8,208.0,2.5,18.0,9.0,9.0
2019-09-10 18:00:00+00:00,,,,0.0,0.001,25.2,190.0,5.4,12.0,11.0,11.0
2019-09-15 04:00:00+00:00,smoke,industrial,,0.005,0.005,39.3,210.0,1.5,39.0,17.0,17.0
2019-09-23 03:00:00+00:00,industrial,,,0.015,0.032,9.0,199.0,3.1,85.0,46.0,46.0
2019-09-24 13:00:00+00:00,tar,,,0.0,0.001,15.7,244.0,4.3,11.0,8.0,8.0
2019-09-30 16:00:00+00:00,coke,industrial,,0.002,0.006,19.8,194.0,5.6,22.0,18.0,18.0
2019-10-03 13:00:00+00:00,industrial,,,0.0,0.001,15.6,185.0,3.8,18.0,13.0,13.0
2019-10-07 04:00:00+00:00,,,,0.0,0.001,64.4,75.0,0.7,10.0,8.0,8.0
2019-10-12 15:00:00+00:00,,,,0.0,0.0,20.0,264.0,7.0,0.0,0.0,0.0
2019-10-25 15:00:00+00:00,chemical,,,0.007,0.004,42.3,43.0,1.2,-1.0,29.0,29.0
2019-10-29 15:00:00+00:00,sulfur,,,0.022,0.031,19.2,197.0,4.4,66.0,32.0,32.0
2019-12-09 15:00:00+00:00,egg,sulfur,,0.001,0.0,24.1,177.0,5.3,9.0,8.0,8.0
2019-12-22 13:00:00+00:00,burning,industrial,,0.015,0.027,38.9,171.0,2.2,83.0,80.0,80.0
2019-12-24 17:00:00+00:00,egg,industrial,,0.001,0.002,19.0,20.0,4.4,11.0,27.0,27.0
2019-12-25 15:00:00+00:00,industrial,,,0.004,0.005,37.4,106.0,1.2,25.0,33.0,33.0
2019-12-27 04:00:00+00:00,industrial,,,0.034,0.071,8.5,207.0,4.2,101.0,80.0,80.0
2020-01-02 23:00:00+00:00,industrial,,,0.0,0.004,16.0,218.0,7.8,9.0,8.0,8.0
2020-01-07 16:00:00+00:00,,,,0.001,0.002,45.9,111.0,2.5,15.0,14.0,14.0
2020-02-04 00:00:00+00:00,,,,0.01,0.01,14.8,210.0,5.2,31.0,14.0,14.0
2020-02-23 18:00:00+00:00,egg,chemical,,0.003,0.002,-1.0,-1.0,-1.0,6.0,7.0,7.0
2020-03-05 14:00:00+00:00,industrial,,,0.005,0.003,-1.0,-1.0,-1.0,25.0,40.0,40.0
2020-04-13 19:00:00+00:00,burning,industrial,,0.001,0.0,18.3,253.0,14.1,4.0,1.0,1.0
2020-05-03 16:00:00+00:00,industrial,,,0.0,0.0,16.9,234.0,6.3,12.0,8.0,8.0
2020-06-03 18:00:00+00:00,egg,,,0.0,0.0,15.8,241.0,11.8,34.0,13.0,-1.0
2020-06-04 04:00:00+00:00,,,,0.003,0.002,16.3,199.0,4.4,32.0,24.0,-1.0
2020-06-21 18:00:00+00:00,,,,0.002,0.001,40.0,171.0,4.4,8.0,6.0,6.0
2020-06-25 13:00:00+00:00,industrial,,,0.005,0.007,24.1,188.0,3.5,23.0,20.0,20.0
2020-07-02 16:00:00+00:00,chemical,,,0.0,0.003,29.9,8.0,6.3,20.0,8.0,8.0
2020-07-02 16:00:00+00:00,chemical,,,0.0,0.003,29.9,8.0,6.3,20.0,8.0,8.0
2020-07-10 17:00:00+00:00,,,,0.001,0.002,44.1,170.0,4.8,18.0,4.0,4.0
2020-07-14 12:00:00+00:00,,,,0.011,0.003,49.7,222.0,2.0,56.0,29.0,29.0
2020-07-26 21:00:00+00:00,,,,0.0,0.001,26.6,249.0,7.9,15.0,12.0,12.0
2020-08-07 14:00:00+00:00,industrial,,,0.0,0.003,22.1,36.0,4.3,28.0,8.0,8.0
2020-08-10 18:00:00+00:00,industrial,sulfur,,0.0,0.002,35.0,183.0,5.6,18.0,15.0,15.0
2020-08-21 14:00:00+00:00,industrial,,,0.007,0.009,31.9,73.0,2.2,28.0,21.0,21.0
2020-09-07 14:00:00+00:00,industrial,,,0.0,0.002,20.3,176.0,5.8,10.0,6.0,6.0
2020-09-29 13:00:00+00:00,coal,,,0.0,0.0,21.0,259.0,3.5,6.0,3.0,3.0
2020-09-30 12:00:00+00:00,sulfur,industrial,,0.0,0.0,15.8,227.0,7.2,10.0,7.0,7.0
2020-11-05 15:00:00+00:00,,,,0.013,0.014,15.5,201.0,6.0,49.0,23.0,23.0
2020-11-19 14:00:00+00:00,industrial,,,0.007,0.008,12.2,199.0,5.9,35.0,29.0,29.0
2021-01-09 20:00:00+00:00,egg,industrial,,0.001,0.0,35.5,266.0,3.8,13.0,12.0,12.0
2021-01-12 21:00:00+00:00,,,,0.001,0.002,20.2,257.0,7.6,16.0,17.0,17.0
2021-02-24 14:00:00+00:00,,,,0.003,0.002,17.7,181.0,5.6,14.0,9.0,9.0
2021-04-05 11:00:00+00:00,,,,0.032,0.045,12.0,193.0,2.7,103.0,72.0,72.0
2021-04-06 18:00:00+00:00,,,,0.001,0.001,68.9,334.0,5.3,31.0,21.0,21.0
2021-04-13 05:00:00+00:00,,,,0.002,0.0,25.7,224.0,2.9,7.0,4.0,4.0
2021-04-14 04:00:00+00:00,sulfur,,,0.016,0.021,8.7,221.0,4.9,50.0,42.0,42.0
2021-05-19 15:00:00+00:00,,,,0.002,0.001,44.1,197.0,3.5,24.0,16.0,16.0
2021-06-17 11:00:00+00:00,,,,0.015,0.007,51.2,211.0,1.0,53.0,47.0,47.0
2021-06-17 14:00:00+00:00,,,,0.01,0.01,37.9,199.0,2.5,16.0,20.0,20.0
2021-06-28 11:00:00+00:00,sulfur,,,0.008,0.01,17.8,198.0,2.0,47.0,18.0,18.0
2021-07-05 11:00:00+00:00,,,,0.008,0.006,74.9,114.0,0.8,85.0,64.0,64.0
2021-07-11 02:00:00+00:00,coal,,,0.001,0.0,27.8,105.0,2.5,16.0,19.0,19.0
2021-07-13 00:00:00+00:00,,,,0.0,0.0,16.1,239.0,5.5,12.0,-1.0,-1.0
2021-07-26 14:00:00+00:00,,,,0.001,0.002,52.0,42.0,1.7,28.0,17.0,17.0
2021-07-27 14:00:00+00:00,,,,0.013,0.014,48.5,192.0,2.1,54.0,41.0,41.0
2021-09-02 12:00:00+00:00,industrial,chemical,,0.0,0.001,19.1,348.0,2.5,78.0,75.0,75.0
